Time: 0.948 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.952 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.956 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.960 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.964 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.968 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.972 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.976 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.980 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.984 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.988 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.992 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.996 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.000 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.004 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.008 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.012 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.016 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.020 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.024 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.028 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.032 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.036 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.040 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.044 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.048 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.052 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.056 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.060 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.064 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.068 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.072 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.076 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.080 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.084 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.088 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.092 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.096 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.100 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.104 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.108 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.112 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.116 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.120 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.124 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.128 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.132 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.136 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.140 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.144 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.148 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.152 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.156 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.160 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.164 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.168 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.172 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.176 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.180 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.184 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.188 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.192 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.196 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.200 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.204 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.208 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.212 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.216 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.220 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.224 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.228 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.232 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.236 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.240 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.244 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.248 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.252 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.256 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.260 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.264 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.268 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.272 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.276 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.280 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.284 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.288 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.292 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.296 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.300 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.304 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.308 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.312 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.316 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.320 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.324 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.328 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.332 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 1.336 s, ForceX: 0.000 N, ForceZ: 0.000 N
