Time: 1.084 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.088 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.092 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.096 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.100 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.104 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.108 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.112 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.116 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.120 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.124 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.128 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.132 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.136 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.140 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.144 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.148 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.152 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.156 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.160 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.164 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.168 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.172 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.176 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.180 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.184 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.188 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.192 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.196 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.200 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.204 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.208 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.212 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.216 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.220 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.224 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.228 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.232 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.236 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.240 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.244 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.248 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.252 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.256 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.260 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.264 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.268 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.272 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.276 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.280 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.284 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.288 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.292 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.296 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.300 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.304 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.308 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.312 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.316 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.320 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.324 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.328 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.332 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.336 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.340 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.344 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.348 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.352 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.356 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.360 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.364 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.368 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.372 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.376 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.380 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.384 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.388 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.392 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.396 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.400 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.404 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.408 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.412 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.416 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.420 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.424 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.428 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.432 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.436 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.440 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.444 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.448 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.452 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.456 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.460 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.464 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.468 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.472 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.476 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.480 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.484 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.488 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.492 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.496 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.500 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.504 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.508 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.512 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.516 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.520 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.524 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.528 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.532 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.536 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.540 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.544 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.548 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.552 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.556 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.560 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.564 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.568 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.572 s, deltaX: -0.400, deltaZ: 1.930
Time: 1.576 s, deltaX: -0.400, deltaZ: 1.930
